relative_path,source_url,license,sha256
"filled/align-box-top-right.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/align-box-top-right.svg","MIT","ba517185e97de39af59c76939566f62e8f8a25d514946522f09339c394e7a69d"
"filled/analyze.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/analyze.svg","MIT","ca5ef05899f43c642416b4191025fc41a2d4df51b3040077dc9e596677230d78"
"filled/app-window.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/app-window.svg","MIT","5e64ac0683ee90e01a3406e908c24a54de4c5a728d9fb905a212b8beaf3de8a3"
"filled/apple.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/apple.svg","MIT","14aa8bdd2a5de030a103aabc4e3efdaa930240df4bed88cd08538778be09ca39"
"filled/apps.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/apps.svg","MIT","5b94bb4ce0494ca8b63e3bdbbae00c23feda9fdad388de3f1af9d3fc66269cdf"
"filled/archive.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/archive.svg","MIT","13defafd1fe2cc10697790ff146441533050897c8b838c74b955b01b713adef2"
"filled/arrow-autofit-content.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-autofit-content.svg","MIT","e37b7e94894bb245a0d6c7f04799a470ec7505664693e3db02cbe43e5ee34fe3"
"filled/arrow-autofit-down.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-autofit-down.svg","MIT","e487b71b8b2e122b8ced3c9d14b5cffe7a88a1fbcc9b9aa421549e2f4c860e36"
"filled/arrow-autofit-height.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-autofit-height.svg","MIT","a47adf05502db910d3b3cdedb473119720ba7b73ed8b46f4a191e4420c5671e8"
"filled/arrow-autofit-left.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-autofit-left.svg","MIT","305dc17a13caba411b15de688650eb0827109c596eb7b2616ab975b63db05b20"
"filled/arrow-autofit-right.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-autofit-right.svg","MIT","52bcd7aadc06043ea6f93cab4c81827ee992bcaacac87047cafd58d8bf4cf22b"
"filled/arrow-autofit-up.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-autofit-up.svg","MIT","ca492d465c235169c43e02716219df991428aac6f20b85937837d91d6e0f9c02"
"filled/arrow-autofit-width.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-autofit-width.svg","MIT","ca267fa0fea9ee0b0d992f7a8ffc3cec98c3b752fd812a07ab2e403d172784f8"
"filled/arrow-badge-down.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-badge-down.svg","MIT","58e8e4f05b1c88c41fb2b15b99dfdf57b05166cdefaed662daba863811abd2c4"
"filled/arrow-badge-left.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-badge-left.svg","MIT","ac159b4175431c238b8eeaab06f5f8e4eaefcdffb683ada13a591cc33bfc31fb"
"filled/arrow-badge-right.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-badge-right.svg","MIT","a043c476950f684006c1fdff6a80556b56d587a7bd8bca3522d0fc5ddf94adb5"
"filled/arrow-badge-up.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-badge-up.svg","MIT","be6fe86b28e9d2b4de0190e44bb087c5e279b2852710472d602837140dafd4af"
"filled/arrow-big-down-line.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-down-line.svg","MIT","e64004594424e452c4ffd8f9106e1073643125fbfbca2c7a0aab6f1e43e8f389"
"filled/arrow-big-down-lines.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-down-lines.svg","MIT","25401002b039b993c6caf800128c3791876af06eb4bd7c439008763137310762"
"filled/arrow-big-down.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-down.svg","MIT","4afbd61d5f91e720c2d18c64c51076e43e530d642700daf9bd4a3b04c1da2146"
"filled/arrow-big-left-line.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-left-line.svg","MIT","1b8fff773a2f5afe9ad45c54cc348a233817cff572543ac4a46cfffeaa89cdd1"
"filled/arrow-big-left-lines.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-left-lines.svg","MIT","7fef43fb1b71e89df1011c27727942b3be4158690cc3db35c9eaed39c21d3f9c"
"filled/arrow-big-left.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-left.svg","MIT","876b69bd02e4dd75edf11466c6125a13d8b99b9cf7d8f2838b03167e6482d25e"
"filled/arrow-big-right-line.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-right-line.svg","MIT","2d0b1e5c45d79eb8a7db10fe604edd874fac17d48d7ae3e0b1a8d7eadc2716d2"
"filled/arrow-big-right-lines.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-right-lines.svg","MIT","90be9569a57e0d39f4eb29331a9c4acdaa6da873bd01bde61d0e0708147ea937"
"filled/arrow-big-right.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-right.svg","MIT","bb87ce2c0f69731073d4700e6b3f220578c85e5e7dc8e9e8a576883423d81620"
"filled/arrow-big-up-line.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-up-line.svg","MIT","b6bc2e820b9ceff7e527115da6a5f5e372d3f73e799b7b9151ce3b6b32e72e37"
"filled/arrow-big-up-lines.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-up-lines.svg","MIT","1c4956c97e661d99ffa43a1b38214230196b1b9c5b9f3d0d3fcc4b9d94ccf61f"
"filled/arrow-big-up.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-big-up.svg","MIT","53a8e4defb97244831f20e0d1f763e6fb853bc9b67d21dafba071d30807de1ce"
"filled/arrow-down-circle.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-down-circle.svg","MIT","6810572794a5ad5a12491de5da4cd55b927582f68544627771e94d0abb2d8013"
"filled/arrow-down-rhombus.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-down-rhombus.svg","MIT","4aedfae3f8ccf5f218e3a5bd7971e59a778c67ed28ed699d09cf864730126761"
"filled/arrow-down-square.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-down-square.svg","MIT","2b1fb9b0cc1602c2b5390bd8eb6a3a5bf034d7eaaf7bc100be68565cd561d1b3"
"filled/arrow-guide.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-guide.svg","MIT","7100f6cb89d46287c6c7040d33bb498e8ab9a6e7233ddf834593f02e68744d0d"
"filled/arrow-left-circle.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-left-circle.svg","MIT","f3a3c3729727be2ee8492acdeb478c4815663e0919ff0d428e11129ae3260591"
"filled/arrow-left-rhombus.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-left-rhombus.svg","MIT","da91265168d974f89e72945c7f6ac09e25d473dab66320bd8fdeaa63f5846878"
"filled/arrow-left-square.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-left-square.svg","MIT","0b859299c9e640f5c40f78cd8abb79da844427c1d92bad3d814d9b798fe62588"
"filled/arrow-move-down.svg","https://github.com/tabler/tabler-icons/blob/main/icons/filled/arrow-move-down.svg","MIT","34f9dcc01e7e67a09364870685ed0da97c434fe768a55cfc296896072b02c796"
